spcd;common_name;genus;species
7247;masame;Glochidion;cuspidatum
550;honeylocust ;Gleditsia;
7248;Glochidion marianum;Glochidion;marianum
7250;Glochidion;Glochidion;
7249;masame;Glochidion;ramiflorum
7245;quickstick;Gliricidia;sepium
7372;Kauai island-aster;Hesperomannia;lydgatei
7759;samoensis;Melicytus;samoensis
552;honeylocust;Gleditsia;triacanthos
7251;belau;Gmelina;elliptica
7253;Gmelina;Gmelina;
7252;blacheos;Gmelina;palawensis
7254;Gnetum gnemon;Gnetum;gnemon
7262;Creole cotton;Gossypium;barbadense
7260;Goniothalamus carolinensis;Goniothalamus;carolinensis
7256;mata buey;Goetzea;elegans
7264;Gossypium hirsutum;Gossypium;hirsutum
555;loblolly-bay;Gordonia;lasianthus
7258;grand merisier;Gomidesia;lindeniana
7272;kahiliflower;Grevillea;banksii
7275;fau ui;Grewia;crenata
7274;grevillea;Grevillea;
7268;Graffenrieda ottoschulzii;Graffenrieda;ottoschulzii
7273;silkoak;Grevillea;robusta
7294;haya minga;Guatteria;blainii
7295;haya blanca;Guatteria;caribaea
882;beeftree, longleaf blolly;Guapira;discolor
7299;hammock velvetseed;Guettarda;elliptica
7285;black mampoo;Guapira;fragrans
8400;wild coffee;Psychotria;
7288;alligatorwood;Guarea;glabra
7290;American muskwood;Guarea;guidonia
7312;Guioa;Guioa;
7300;frogwood;Guettarda;krugii
7282;paipai;Guamia;mariannae
7286;corcho prieto;Guapira;obtusata
7302;cucubano de vieques;Guettarda;odorata
7279;lignum-vitae;Guaiacum;officinale
7303;cucubano;Guettarda;ovalifolia
7313;bochela uchererak, uch;Gulubia;palauensis
8325;Molokai pritchardia;Pritchardia;lowreyana
774;Mahaleb cherry, domesticated;Prunus;mahaleb
8326;Koolau Range pritchardia;Pritchardia;martii
8327;Alakai Swamp pritchardia;Pritchardia;minor
8328;Kamalo pritchardia;Pritchardia;munroi
8346;West Indian cherry;Prunus;myrtifolia
765;Canada plum;Prunus;nigra
8307;ahgao;Premna;obtusifolia
8347;western cherry laurel;Prunus;occidentalis
755;mesquite ;Prosopis;
8329;fan palm;Pritchardia;pacifica
8344;kiawe;Prosopis;pallida
761;pin cherry;Prunus;pensylvanica
764;peach;Prunus;persica
8341;fua lole;Procris;pedunculata
8330;Waioli Valley pritchardia;Pritchardia;perlmanii
758;screwbean mesquite;Prosopis;pubescens
8308;Premna pubescens;Premna;pubescens
8331;Nihoa pritchardia;Pritchardia;remota
8336;lands of papa pritchardia;Pritchardia;schattaueri
762;black cherry;Prunus;serotina
8309;aloalo;Premna;serratifolia
8349;Prunus serotina;Prunus;serotina
760;cherry and plum ;Prunus;
757;velvet mesquite;Prosopis;velutina
763;chokecherry;Prunus;virginiana
8338;stickybud pritchardia;Pritchardia;viscosa
8339;poleline pritchardia;Pritchardia;waialealeana
8354;mountain guava;Psidium;amplexicaule
8361;cachimbo-cumun;Psychotria;berteriana
8362;palo de cachimbo;Psychotria;brachiata
8363;Browne's wild coffee;Psychotria;brownei
8355;strawberry guava;Psidium;cattleianum
8364;Psychotria domingensis;Psychotria;domingensis
200;Douglas-fir ;Pseudotsuga;
8365;Koolau Range wild coffee;Psychotria;fauriei
8366;largeflower wild coffee;Psychotria;grandiflora
8367;cachimbo grande;Psychotria;grandis
8369;Kauai wild coffee;Psychotria;greenwelliae
8356;guava;Psidium;guajava
8370;Waianae Range wild coffee;Psychotria;hathewayi
8373;kopikoula;Psychotria;hawaiiensis
8377;woodland wild coffee;Psychotria;hexandra
8382;Oahu wild coffee;Psychotria;hexandra
8386;milolii kopiwai;Psychotria;hobdyi
8387;matalafi;Psychotria;insularum
8388;kopiko kea;Psychotria;kaduana
8358;Psidium longipes;Psidium;longipes
201;bigcone Douglas-fir;Pseudotsuga;macrocarpa
8389;cachimbo de gato;Psychotria;maleolens
8391;cachimbo de maricao;Psychotria;maricaensis
8392;forest wild coffee;Psychotria;mariniana
8393;opiko;Psychotria;mauiensis
202;Douglas-fir;Pseudotsuga;menziesii
8394;thicket wild coffee;Psychotria;microdon
8395;floating balsamo;Psychotria;nutans
8402;alahee;Psydrax;odorata
6175;dugdug, Marianas breadfruit;Artocarpus;mariannensis
8390;aplohkateng;Psychotria;mariana
8406;pteralyxia;Pteralyxia;
361;Pacific madrone;Arbutus;menziesii
6176;Artocarpus nobilis;Artocarpus;nobilis
6164;Guadeloupe marlberry;Ardisia;obovata
6177;Marang;Artocarpus;odoratissimus
6169;cabo-negro;Arenga;pinnata
6165;China-shrub;Ardisia;solanacea
6178;meduu;Artocarpus;
363;Texas madrone;Arbutus;xalapensis
6181;afia;Ascarina;diffusa
6185;Astronidium navigatorum;Astronidium;navigatorum
6186;meskui;Astronidium;palauense
6187;Astronidium pickeringii;Astronidium;pickeringii
6188;Astronidium samoense;Astronidium;samoense
6190;Astronidium subcordata;Astronidium;subcordata
367;pawpaw;Asimina;triloba
6189;Astronidium;Astronidium;
6193;ifi ifi;Atuna;racemosa
6200;biut;Avicennia;alba
6197;Bilimbi;Averrhoa;bilimbi
6198;carambola;Averrhoa;carambola
6199;Averrhoa;Averrhoa;
986;black-mangrove;Avicennia;germinans
6205;Avicennia;Avicennia;
6203;Avicennia marina;Avicennia;marina
6206;neem;Azadirachta;indica
6220;sea putat;Barringtonia;asiatica
6225;Bauhinia binata;Bauhinia;binata
6264;angels-trumpet;Brugmansia;candida
6224;Bastardiopsis eggersii;Bastardiopsis;eggersii
6215;bamboo;Bambusa;
6226;Napoleon's plume;Bauhinia;monandra
6227;petite flamboyant bauhinia;Bauhinia;multinervia
6228;railroadfence;Bauhinia;pauletia
6213;ralm;Badusa;palauensis
6217;Puerto Rico palo de ramon;Banara;portoricensis
6229;butterfly tree;Bauhinia;purpurea
6221;langaasag;Barringtonia;racemosa
6223;Barringtonia;Barringtonia;
6222;falaga;Barringtonia;samoensis
6208;Saitamu;Baccaurea;taitensis
6231;St. Thomas tree;Bauhinia;tomentosa
6230;bauhinia;Bauhinia;
6232;mountain ebony;Bauhinia;variegata
6219;Vanderbilt's palo de ramon;Banara;vanderbiltii
6216;common bamboo;Bambusa;vulgaris
371;yellow birch;Betula;alleghaniensis
