tsn;genus;species;en_com_name;fr_com_name;qc_code;on_tree_code;on_alpha_code;us_code;nb_code
19347;Quercus;grisea;gray oak;NA;NA;NA;NA;846;
19357;Quercus;hypoleucoides;silverleaf oak;NA;NA;NA;NA;843;
19358;Quercus;ilicifolia;scrub oak;NA;NA;NA;NA;816;
19359;Quercus;imbricaria;shingle oak;NA;NA;NA;NA;817;
19360;Quercus;incana;bluejack oak;NA;NA;NA;NA;842;
19366;Quercus;kelloggii;California black oak;NA;NA;NA;NA;818;
19367;Quercus;laevis;turkey oak;NA;NA;NA;NA;819;
19368;Quercus;laurifolia;laurel oak;NA;NA;NA;NA;820;
19370;Quercus;lobata;California white oak;NA;NA;NA;NA;821;
19374;Quercus;marilandica;blackjack oak;NA;NA;NA;NA;824;
19377;Quercus;minima;dwarf live oak;NA;NA;NA;NA;841;
19390;Quercus;oblongifolia;Mexican blue oak;NA;NA;NA;NA;829;
19391;Quercus;oglethorpensis;Oglethorpe oak;NA;NA;NA;NA;844;
19397;Quercus;prinoides;dwarf chinkapin oak;NA;NA;NA;NA;845;
19408;Quercus;rubra;"Red oak ;northern red oak";Chêne rouge;CHR;41;Or;833;17
19410;Quercus;rugosa;netleaf oak;NA;NA;NA;NA;847;
19417;Quercus;shumardii;"Shumard's oak ;Shumard oak";NA;NA;39;Os;834;
19422;Quercus;stellata;post oak;NA;NA;NA;NA;835;
19430;Quercus;suber;cork oak;NA;NA;NA;NA;8424;
19447;Quercus;velutina;black oak;NA;NA;NA;NA;837;
19451;Castanea;;chestnut ;NA;NA;NA;NA;420;
19454;Castanea;dentata;"American chestnut ;American chestnut";NA;NA;171;Cd;421;
19457;Castanea;pumila;Allegheny chinkapin;NA;NA;NA;NA;422;
19457;Castanea;pumila;Ozark chinkapin;NA;NA;NA;NA;423;
19462;Fagus;grandifolia;"American beech ;American beech";Hêtre à grandes feuilles;HEG;44;Be;531;15
19464;Lithocarpus;densiflorus;tanoak;NA;NA;NA;NA;631;
19466;Alnus;;alder ;Saule;SAL;NA;NA;350;22
19470;Alnus;glutinosa;European alder;NA;NA;NA;NA;355;
19472;Alnus;oblongifolia;Arizona alder;NA;NA;NA;NA;353;
19473;Alnus;rhombifolia;white alder;NA;NA;NA;NA;352;
19474;Alnus;rubra;red alder;NA;NA;NA;NA;351;
19478;Betula;;birch ;NA;NA;NA;NA;370;
19479;Betula;nana;NA;Bouleau nain;BEP;NA;NA;NA;
19480;Betula;nigra;river birch;NA;NA;NA;NA;373;
19481;Betula;alleghaniensis;"Yellow birch ;yellow birch";Bouleau jaune;BOJ;37;By;371;14
19485;Betula;glandulosa;NA;Bouleau glanduleux;BEG;NA;NA;NA;
